Ordem;NroProcessoPI;Titular;CNPJ-Titular;CNPJ(ID Alternativo);IFES titular;Qtde de empregados;Natureza do Titular;Tipo do Titular;Tamanho do Titular;Esfera;Região;Seção;Descr.Seção;Divisão;Descr.Divisão;Ano requerimento;Ano 1º TT
46;BR1020190272775;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
47;BR2020200036748;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2020;Não TT
48;BR1020200096915;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2020;Não TT
49;BR1020200076221;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2020;Não TT
50;BR1020200137077;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2020;Não TT
51;BR1020200186175;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2020;Não TT
52;BR1020200205218;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2020;Não TT
53;BR1020200211307;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2020;Não TT
54;BR1020200211390;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2020;Não TT
55;BR1020200231359;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2020;Não TT
56;BR2020200234132;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2020;Não TT
57;BR1020210037490;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2021;Não TT
58;BR1020210048921;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2021;Não TT
59;BR1020210106280;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2021;Não TT
60;BR1020210112611;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2021;Não TT
61;BR1020210112824;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2021;Não TT
62;BR1020210133678;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2021;Não TT
